Business Name,Category,About the Business,Website,Phone number,Address,Pictures,Category Title,City,ZipCode
Move Well MD,Active Life,"With Move Well MD, the name says it all. The staff at Move Well MD offer a focused team approach to treating your pain and postural dysfunctions. Our goal is to give the most comprehensive care by combining the best of Western/Eastern medicine and traditional/alternative treatments. &nbsp;This will allow you to start moving and functioning the way your body was designed and to prevent future problems.
It's the multifaceted treatment approach that makes Move Well MD standout for people in Manhattan and the surrounding communities that need help improving their flexibility and managing their pain.
Our talented team of practitioners offer: 
Physical medicine 
Physical rehabilitation, 
Chiropractic Care 
Acupuncture 
Massage therapy 
Trigger point injections, 
Posture analysis, 
Digital range of motion testing 
Amniotic allograft (including stem cells) joint injections.
At Move Well MD in Manhattan located in the downtown financial district of lower Manhattan, NY, NY 10038, we use an integrated system of care to relieve pain, improve range of motion and help you to move well again!
Our office is located on the 12th floor of&nbsp;150 Broadway&nbsp;(between Maiden Lane and Liberty Street), Suite 1213.",movewellmd.com,(646) 664-1883,"150 Broadway Ste 1213 New York, NY 10038 ","https://s3-media2.fl.yelpcdn.com/bphoto/pF4Prpe-6A9ZUaWjIetV-A/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/W0mlvFAIjjviOG3I8SxJyA/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/Wpa9FmsIyEyr561cAjHf3g/o.jpg,","Chiropractors,Physical Therapy,Pain Management,",New York,10038
"Dr Eric Steibl, DC - Muscle Activation Techniques & Rolfing",Active Life,"Contact today for Muscle Activation Techniques and/or Rolfing. Offering a wide range of services. Information shown in ""about the business owner"" section. Call or message today to book an appointment. ",Deep-Tissue.com,(212) 586-6149,"11040 Santa Monica Blvd Ste 404 Los Angeles, CA 90025 ","https://s3-media2.fl.yelpcdn.com/bphoto/2hUx6dqaCmWPYcxkv_XzLg/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/JGvVqn_uB-tkDQ15-25IWw/o.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/GZPKDX8ilj3frMTjvRYrZg/o.jpg,","Physical Therapy,Chiropractors,Sports Medicine,",Los Angeles,90025
Strive Total Wellness,Active Life,"At Strive we deliver personalized, one-on-one treatments designed to optimize your health and well-being. Physical Therapy, Massage Therapy, Chiropractic Care, Acupuncture, Yoga and Personal Training",strivetotalwellness.com,(929) 374-3222,"44 East 32nd St Fl 8 New York, NY 10016 ","https://s3-media2.fl.yelpcdn.com/bphoto/eMbnbcwwbUPvSpnwnNG1ag/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/1vQYAyquPo6ca0R4F8ZdnA/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/o6phdaiMbMWO0zLMiiY_Jw/o.jpg,","Physical Therapy,Chiropractors,Massage Therapy,",New York,10016
Atlas Chiropractic Spine Care,Active Life,"Atlas Chiropractic Spine Care uses the NUCCA Procedure to provide a structural correction to align the head, neck and pelvis back to their proper upright position, without any twisting, cracking or popping of the neck. Providing relief for neck pain, headaches, migraines, dizziness, TMJ issues, Low back pain, sciatica and more.",atlaschirony.com,(212) 379-6535,"65 Broadway Ste 1003 New York, NY 10006 ","https://s3-media3.fl.yelpcdn.com/bphoto/5qA-a_92Ui1LFpU_evyM6g/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/FYqkWz7xGF7M043MWTaf3g/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/BeuXw_G8f0CiQFoO-yuwWw/o.jpg,","Chiropractors,",New York,10006
Oasis Chiropractic & Wellness Center,Active Life,"At Oasis Chiropractic we pride ourselves on working with our patients as a team. Oasis Chiropractic is your choice for the Manhattan, Upper West Side, Columbus Circle, Midtown, Lincoln Center communities. Why do so many people choose to work with Dr. Jason Goldstein?

While Chiropractic care has helped many people finally put their pain in the past, it isnt right for everyone. At Oasis Chiropractic, we will sit down with you and do an initial consultation and find out more about how you got to the point youre at now.

Dr. Jay's famous line is: 
""I may be the doctor but it is your body, and you know it the best, so we will work together as a team to get you better.""

Call our office today to schedule an appointment.

We help:
-Osteoporosis 
-Neck Pain
-Back Pain
-Numbness and tingling in arms and legs
-Migraine Headaches
-Tension Headaches
-Sciatica
-Disc Issues
-Knee, arm, ankle, and elbow pain
-Asthma and Allergies
-Scoliosis
-Posture
-Nutrition and Wellness 
- And More",oasisfromthepain.com,(212) 582-1122,"330 W 58th Ste 501 New York, NY 10019 ","https://s3-media2.fl.yelpcdn.com/bphoto/-eegTwUYwz_wSSp7VhMABg/o.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/PCA96TeeWVFm9V7lScmAKA/o.jpg,","Chiropractors,Physical Therapy,",New York,10019
First Response Advantage,Active Life,First Response Advantage is an American Heart Association Authorized Training Center serving clients in the Manhattan area. Our services range from customizing an emergency response plan for a public access defibrillation (PAD) program to providing certification training in a variety of courses in Cardio Pulmonary Resuscitation (CPR) and First Aid. We train a broad range of individuals from lay personnel to health care providers. Our goal is to offer the finest quality courses and provide an optimal learning atmosphere. Contact us today to get started!,firstresponseadvantage.net,(646) 290-6540,"1133 Broadway Ste 619 New York, NY 10010 ","https://s3-media3.fl.yelpcdn.com/bphoto/MOzyS5pYWLpKAR_FVztrog/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/2h7S6sgAyOjLkpxHuvSXKA/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/P-99UwWlmaFAKo0-pOPIhw/o.jpg,","CPR Classes,First Aid Classes,",New York,10010
Freedom Hypnosis,Active Life,"Now Also Serving Nashville, TN! Freedom Hypnosis specializes in live sessions online (not in person) and is here to help with a variety of challenges including Smoking Cessation, Stress &amp; Anxiety Relief, Confidence &amp; Self Esteem, Overcoming Fears, Breaking Habits, Focus, Motivation and Test Prep, Sleep Issues and Shyness. If you're looking for hypnotherapy to stop embarrassing bad habits like nail-biting our service was designed for you. We offer an innovative platform where we focus on the inner self and achieving the confidence and positivity you need to have a healthier, happier life. Past life explorations are also available for those looking to further their spiritual journey.​With Freedom Hypnosis, anything is possible. We will consult with you and create a personalized course of support that will ensure you are able to become more successful at meeting your goals and achieving more than you have ever dreamed of. At Freedom Hypnosis, your needs are our priorities.",freedomhypnosisnyc.com,(917) 300-1809,"New York, NY 11101 ","https://s3-media1.fl.yelpcdn.com/bphoto/rtP2kvQT3_j-s7SD-E4DHg/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/f_nEZUxykuEZGxUd_jGHkw/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/ymQYoBZ9uuM4fumTWKSS8g/o.jpg,","Hypnosis/Hypnotherapy,Life Coach,",New York,11101
Active Travel Vietnam,Active Life,"Vietnam Adventure tours with active outdoor activities vietnam trekking,  halong kayaking, cycling tours, motorcycling tours Vietnam",activetravelvietnam.com,(844) 573-8569,"31 /4 Dang Van Ngu St Hanoi, NY 00844 ","https://s3-media2.fl.yelpcdn.com/bphoto/UNHfL0cPJ_o3FjdXARzFRQ/o.jpg,","Tours,Travel Services,",Hanoi,00844
"City Physical Therapy, PC",Active Life,"CityPT is proud to offer top tier care in 2 convenient locations: Downtown (Baxter St) and Midtown (16 W 37th St, 2nd Fl).

CityPT specializes in ""Happy Patients"". Known for our Quality Care, Convenience, and Modern Facilities, CityPT offers the patient-centered experience of a small, private practice coupled with functional training exercises and equipment found in boutique training facilities.

We regularly treat the full spectrum of orthopedic and sports injuries/conditions with emphasis on to the following groups: Runners &amp; Endurance Athletes, Dancers, Martial Artists/Combat Athletes, and Strength Athletes.

Our Therapists also have advanced specializations in: Graston Technique, Barefoot Rehab.

We are located on the corner of Broadway and Canal, the border of Tribeca, Soho, and Chinatown. Our PTs/Staff speak English, Japanese, Cantonese, Mandarin, and Spanish.",cityptnyc.com,(212) 537-0110,"118 Baxter St Ste 303 New York, NY 10013 ","https://s3-media3.fl.yelpcdn.com/bphoto/iK9E_sghTSs3UGUaD-MwFw/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/wNGd48nIHeAIJogiC9dzXQ/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/u3Jkm6jwyf4IgjMwtCQHHA/o.jpg,","Physical Therapy,Rehabilitation Center,",New York,10013
Neo Tantra Sacred Orgasm,Active Life,"Michiko's sessions are incredibly dynamic and are designed to increase the fire Kundalini energy within to bring back the passion and energy of life. She has 25 years of Kundalini Yoga and Tantra experience all around the world and specializes in working with men who are dealing with ED (Erectile Dysfunction), PE (Premature Ejaculation) and Performance Anxiety. She has also helped women achieve Tantric energy orgasms!(Multiple orgasms)",neotantraorgasm.com,(917) 727-8327,"303 Fifth Ave New York, NY 10016 ","https://s3-media4.fl.yelpcdn.com/bphoto/kvnmFoHPGoGlw-hAb6n53A/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/Eh2jqNM4A43Eq_Y-rtptlg/o.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/OLAi-6QUIBigS7GM2X_UHw/o.jpg,","Yoga,Sex Therapists,",New York,10016
Tenement Museum,Active Life,"Located in the heart of Manhattan's Lower East Side, an immigrant portal for 200 years, the Tenement Museum preserves the history of immigration through the personal accounts of those who built lives in the neighborhood. The Museum was home to more than 15,000 people from over 20 nations between 1863 and the turn of the 21st century. 

Through tours of the Museum's two historic tenement buildings, walking tours of the neighborhood, food tours and costumed interpreter programs, visitors learn about the changes that took place in the neighborhood and how generations of immigrants helped shape the American experience. 

The Museum is currently open on Saturdays for neighborhood walking tours and offers virtual tours of our historic tenement apartments.",tenement.org,(877) 975-3786,"103 Orchard St New York, NY 10002 ","https://s3-media3.fl.yelpcdn.com/bphoto/BPSW5NV9gzcRX0jinZFhTQ/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/gL7KWnLFWcCqZT0EiqVEow/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/4HPWQ3yqExO5-mAKkCxb9Q/o.jpg,","Museums,Historical Tours,Walking Tours,",New York,10002
Perfect Stride Physical Therapy,Active Life,"Perfect Stride Physical Therapy (PSPT) was created with a vision of providing individualized patient care based on cutting edge practices. Through our 50 minute one on one treatment sessions, Perfect Stride patients receive a specialized and personal rehabilitation experience that maximizes results. Coupled with a staff that remains at the forefront of evidence-based practice, our patients are achieving their goals and recovering quicker!",perfectstridept.com,(917) 494-4284,"32 Union Square E Ste 215 Manhattan, NY 10003 ","https://s3-media1.fl.yelpcdn.com/bphoto/7jQZkAslagMxBIB048lMXA/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/1lu5VchyuZx4h7yOdxmCtg/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/mfK0-Bm2cK1SdkITkFFwVA/o.jpg,","Physical Therapy,",Manhattan,10003
Choose A Life You Love,Active Life,"Highly personalized, 1-to-1 Career Coaching, Executive Coaching, and Life Coaching sessions, as well as custom-developed individualized homework assignments in between sessions to keep you on track and moving forward every week! You can use coaching to: 1) identify meaningful and exciting possibilities for your career, business, or life, 2) gain clarity on your goals and plan your next steps, 3) discover your unique strengths and identify the root causes of the obstacles you face, and 4) take action, follow-through, and make real progress towards a life or career you truly love. To schedule a free video consultation to meet with Coach Becky and talk through what coaching would involve in your case, go to choosealifeyoulove.fullslate.com or text 929.273.1333.",choosealifeyoulove.com,(929) 273-1333,"350 Fifth Ave New York, NY 10118 ","https://s3-media2.fl.yelpcdn.com/bphoto/ROdasWlVLyNGDfmcgiXk1w/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/wHCBiqjmy_uYuTgo5TZtmA/o.jpg,","Life Coach,Career Counseling,Business Consulting,",New York,10118
Symbio Physio,Active Life,"At Symbio Physiotherapy, we treat a wide range of patients with various musculoskeletal conditions on a daily basis. These patients include triathletes, marathon runners, dancers, gymnasts, and all types of movers. We also treat office workers, weekend warriors, recreational athletes, and everyone in between.
The bottom line is that whatever you do and whatever your goals are, we are a team that is committed to getting you there.",symbiopt.com,(917) 310-5427,"25 W 14th St Fl 2 New York, NY 10011 ","https://s3-media4.fl.yelpcdn.com/bphoto/vGp0MEXxdLlQXc9MaYdAag/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/iha4nJidmlR29Kr_XADkdw/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/JLxAjokCsIRigfVHKXKCnQ/o.jpg,","Physical Therapy,Sports Medicine,",New York,10011
Veech Sports Chiropractic,Active Life,Specializing in Muscle and Sports Injury.,veechsportschiro.com,(646) 470-6480,"853 Broadway Ste 1601 New York, NY 10003 ","https://s3-media1.fl.yelpcdn.com/bphoto/aHNcBaxxCfLcYL4usC_z_A/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/u37aw4-oFZqnYSRl_cWNFQ/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/pKxkhLXlL90MUScd6gLJYA/o.jpg,","Chiropractors,Sports Medicine,",New York,10003
Spyscape,Active Life,"Discover your spy skills and reveal your inner Bond or Bourne at this must visit new spy museum and experience. New York's top rated new attraction features world-class galleries of spy gadgets and stories, plus fun immersive spy challenges. Spot liars, break codes and dodge lasers to reveal your spy role. Spycatcher, Spymaster or Special Ops, which will you be..?

Visit our immersive James Bond exhibition to experience 007 from a different perspective. Take your photo with Bond's iconic Aston Martin DB5 and explore the creative process behind the movies.  Investigate gadgets in Q's lab, discover original concept art in Oscar®-winning Production Designer Sir Ken Adam's studio and peek behind the scenes of Skyfall's explosive finale.

Developed with a former Head of Training at British Intelligence, SPYSCAPE is designed for friends, families and groups. Centrally located on 8th Avenue Near MoMA and Central Park. Open 7 days. Last admission 7:30pm.",spyscape.com,(212) 549-1941,"928 8th Ave New York, NY 10019 ","https://s3-media2.fl.yelpcdn.com/bphoto/1jZ6TW68ljx6Fo65fNRRXQ/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/-1qZLEyWP-aUlCRQeHurlQ/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/QRKawb7jgsV27oSmYCkJiA/o.jpg,","Museums,",New York,10019
TAI Chiropractic,Active Life,"TAI Chiropractic New York is a sports medicine based clinic, helping patients start, continue, and improve their active lifestyle.  Treatment consists of functional muscle testing, soft tissue manipulation, nerve entrapment techniques, and functional rehabilitation.",taihealthsolutions.com,(212) 931-8544,"119 West 57th St Ste 212 Manhattan, NY 10019 ","https://s3-media3.fl.yelpcdn.com/bphoto/IA-tOM438HW6Sli7sEJNaw/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/bjRik9HOLh6w4f51Tv7nYw/o.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/B8trVvE1Rl08CLl415N7AQ/o.jpg,","Chiropractors,",Manhattan,10019
Drew McClain,Active Life,"Covid-19 update:
Due to Covid-19 Drew McClain will be doing only video conference readings only at this time. Video sessions through FaceTime, WhatsApp, is common practice for Drew McClain. He has clients in 24 countries. Video sessions do not hurt the accuracy or integrity of the reading.
Sending love to everyone during this very difficult time.
Please stay at home and god bless. 
Drew McClain is the highest rated Psychic Medium on Yelp and Google in the world because his astonishing ability to accurately read for skeptics and cynics. His readings have been documented as a life changing experience!",drewmcclain.com,(714) 553-2610,"656 Saint Nicholas Ave New York, NY 10030 ","https://s3-media4.fl.yelpcdn.com/bphoto/RUSSwqZzDlS4lF6R9pCNoQ/o.jpg,https://s3-media1.fl.yelpcdn.com/bphoto/pA2pfNsaUgg10rVAg-Vf0w/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/OnyqG6MDK1XVr8c-G5AwSA/o.jpg,","Psychic Mediums,",New York,10030
Williamsburg Chiropractic,Active Life,"Located in the heart of Brooklyn, the leading health professionals at Williamsburg Chiropractic, PC are dedicated to helping you achieve your wellness objectives -- combining skill and expertise that spans the entire chiropractic wellness spectrum.  For over 11 years, Dr. Jared Hoffman has been committed to bringing you better health and a better way of life by teaching and practicing the true principles of chiropractic wellness care.

Patients seeking treatment at Williamsburg Chiropractic are assured of receiving only the finest quality care through the use of modern chiropractic equipment and technology. We have a genuine concern for your well-being!

Our services and techniques include:

- Chiropractic Care
- Corrective Exercises
- Spinal Decompression
- Spinal &amp; Postural Screenings
- Lifestyle Advice
- Physiotherapy

We also provide an array of physiological therapeutic procedures, including:

- Mechanical traction
- Cryotherapy
- Cold Laser
- Extension Compression Traction",williamsburgchirony.com,(718) 222-9700,"729 Wythe Ave Brooklyn, NY 11249 ","https://s3-media4.fl.yelpcdn.com/bphoto/YO2-aNn6hfqzng8Da_r-NQ/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/_Ms0r7P_0ZKvmHrF_4c5EQ/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/oTiD4U4CoZsgJcNkiSSKcg/o.jpg,","Chiropractors,",Brooklyn,11249
Hudson Medical,Active Life,Sign up for a COVID Test. Rapid Testing and PCR. Same-day appointments + results available. Walk-ins welcome.,hudsonmedical.com/medical,(347) 508-0474,"281 Broadway New York, NY 10007 ","https://s3-media2.fl.yelpcdn.com/bphoto/b4I5_n9kw96IWNlCmAxqPw/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/rrSUZFoAYX1EgIAKRF6KNA/o.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/N57V-RBPF3Hh_KM7y6eAHA/o.jpg,","Sports Medicine,Pain Management,Neurologist,",New York,10007
Active Chiropractic Healthcare,Active Life,"The Active Chiropractic Healthcare philosophy is about optimizing health and offering a better, more holistic way of life. By incorporating the true principles of chiropractic wellness and educating our practice members, you will become an active participant in your care and discover the tools for sustaining health.
Dr. Tammy Bohné is devoted to providing ethical, individualized chiropractic, nutritional and wellness care for you and your family. We invite you to begin your transformation to better health today! 
If you are new to our website, please feel free to discover and learn about chiropractic healthcare by exploring the Community Topics area (right column) to learn more about how chiropractic care works, the history of chiropractic, myths and facts about chiropractic, and more.",drtammybohne.com,(212) 673-2590,"36 E 23rd St Ste 3R New York, NY 10010 ","https://s3-media1.fl.yelpcdn.com/bphoto/Q5N7CmUb_4yExnptwVFCyQ/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/V2078oL2U88s3QMi8Fzy5g/o.jpg,https://s3-media2.fl.yelpcdn.com/bphoto/0-31h-SF9CICdixtf3Xvuw/o.jpg,","Chiropractors,",New York,10010
But First Self Love,Active Life,"I help others strengthen their relationship with SELF. I'm looking for people who...
-find themselves in cycles that they can't seem to get out of.
-feel that there's more to life than their current situation.
-are open to a process of rewiring their spirituality.
-have commitment to self.
-are curious about self love/ discovery.
-are ready for CHANGE.",butfirstselflove.com,(707) 688-0967,"Fairfield, CA 94533 ","https://s3-media3.fl.yelpcdn.com/bphoto/vs9EDeWXkIVfTJVwI5B9fg/o.jpg,https://s3-media3.fl.yelpcdn.com/bphoto/rSCHVRPwpxdLpnnXAyyMAA/o.jpg,https://s3-media4.fl.yelpcdn.com/bphoto/TB7VKQXwCo48zugcpw6lMw/o.jpg,","Life Coach,",Fairfield,94533
